Authors,Title,Year,Source title,Volume,Page start,Page end,DOI,Link,Author Keywords,Index Keywords,Source
"Mohan L., Chen J., Anderson C.W.",Developing a multi-year learning progression for carbon cycling in socio-ecological systems,2009,Journal of Research in Science Teaching,46,675,698,10.1002/tea.20314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68149169387&doi=10.1002%2ftea.20314&partnerID=40&md5=c489c35c1c9df49251bb4f5b455a7ac9,Learning progressions; Student reasoning; Tracing matter,Biogeochemical process; Carbon cycling; Carbon sequestration; Carbon source; Cellular respiration; Chemical model; Chemical process; Complex domains; Development process; Ecological systems; Empirical validation; Food webs; Global climate changes; High school; High school students; Iterative process; Learning progressions; Level 2; Level 4; Life process; Macroscopic scale; Multiple scale; National standard; Student reasoning; Tracing matter; Biochemistry; Climate change; Combustion; Ecology; Photosynthesis; Students; Thermochemistry; Organic carbon,Scopus
Ostrom E.,A general framework for analyzing sustainability of social-ecological systems,2009,Science,325,419,422,10.1126/science.1172133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67749104823&doi=10.1126%2fscience.1172133&partnerID=40&md5=e9e3a3a986695f81b193366fc936108a,,biodiversity; ecological approach; natural resource; policy approach; resource use; self organization; sustainability; conceptual framework; ecosystem resilience; environmental factor; environmental protection; environmental sustainability; field study; fishery management; forest management; government; international cooperation; outcome assessment; priority journal; review; water management; Animals; Conservation of Natural Resources; Ecology; Humans; Public Policy; Social Environment; Sociology; Systems Theory,Scopus
"Taber F., Taylor N.",Climate of concern - A search for effective strategies for teaching children about global warming,2009,International Journal of Environmental and Science Education,4,97,116,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66549130467&partnerID=40&md5=8cbef2b4fbeefdd54e717fa60813730f,Climate change; Effect size; Environmental knowledge; Global warming; Primary school students; Teaching intervention,,Scopus
"Porter T., Córdoba J.",Three views of systems theories and their implications for sustainability education,2009,Journal of Management Education,33,323,347,10.1177/1052562908323192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65149104009&doi=10.1177%2f1052562908323192&partnerID=40&md5=ee86e3afe2110219df8b4227fe0707de,Complexity; Corporate social responsibility; Education.; Sustainability; Systems thinking,,Scopus
Locke S.,Environmental education for democracy and social justice in Costa Rica,2009,International Research in Geographical and Environmental Education,18,97,110,10.1080/10382040902861171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649751450&doi=10.1080%2f10382040902861171&partnerID=40&md5=48e403ea84b490a7e6a13aa00759aecb,Costa Rica; Critical place-based pedagogy; Democracy; Eco-justice; Environmental education,citizenship; democracy; environmental education; environmental policy; environmental values; social justice; Costa Rica,Scopus
Clarke P.,Sustainability and improvement: A problem 'of' education and 'for' education,2009,Improving Schools,12,11,17,10.1177/1365480208100242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63249130025&doi=10.1177%2f1365480208100242&partnerID=40&md5=cbdddea67e4ccda9ca57b193556f5eab,Environment; Improvement; Learning communities; Sustainability,,Scopus
"Chauhan S., das S.R., Rita N., Haigh M.",Promoting Education for sustainability in a Vaishnava (Hindu) community,2009,Applied Environmental Education and Communication,8,114,125,10.1080/15330150903133702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349567243&doi=10.1080%2f15330150903133702&partnerID=40&md5=8f87f48d98700824bf6d9be3ef6a9e0a,,,Scopus
"Segalàs J., Ferrer-Balas D., Svanström M., Lundqvist U., Mulder K.F.",What has to be learnt for sustainability? A comparison of bachelor engineering education competences at three European universities,2009,Sustainability Science,4,17,27,10.1007/s11625-009-0068-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-64449086665&doi=10.1007%2fs11625-009-0068-2&partnerID=40&md5=61c5e69ba1034e78b1c8bca632ab58bf,Competences; Education; Engineering; Europe; Sustainability,,Scopus
"George D., Clewett J., Birch C., Wright A., Allen W.",A professional development climate course for sustainable agriculture in Australia,2009,Environmental Education Research,15,417,441,10.1080/13504620902946978,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981277586&doi=10.1080%2f13504620902946978&partnerID=40&md5=a634670575d9042a11a7a45a0570c853,climate; climate change; education for sustainable development; professional development; sustainable development,,Scopus
"Martina C.A., Hursh D., Markowitz D.",Contradictions in educational policy: implementing integrated problem-based environmental health curriculum in a high stakes environment,2009,Environmental Education Research,15,279,297,10.1080/13504620902770337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977164566&doi=10.1080%2f13504620902770337&partnerID=40&md5=6db9220aa56b01abef6bd89cf9986f95,education; educational policy; environmental health; integration; teacher collaboration; teacher education,,Scopus
"Yavetz B., Goldman D., Pe’er S.",Environmental literacy of pre-service teachers in Israel: a comparison between students at the onset and end of their studies,2009,Environmental Education Research,15,393,415,10.1080/13504620902928422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960607614&doi=10.1080%2f13504620902928422&partnerID=40&md5=94dcc7cb2fea8e96ad98c170f60a48e6,environmental attitudes; environmental behaviour; environmental education; environmental literacy; pre-service teacher education,,Scopus
McKenzie M.,"Scholarship as intervention: critique, collaboration and the research imagination",2009,Environmental Education Research,15,217,226,10.1080/13504620902807576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960190427&doi=10.1080%2f13504620902807576&partnerID=40&md5=98acb3a5bbe6da687c1433606be59f25,academic activism; imagination; interpretive critique; public scholarship; public space,,Scopus
Huckle J.,Consulting the UK ESD community on an ESD indicator to recommend to Government: an insight into the micro-politics of ESD,2009,Environmental Education Research,15,1,15,10.1080/13504620802578509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960170729&doi=10.1080%2f13504620802578509&partnerID=40&md5=b5e8c86624c75de1862599a1b38950a0,citizenship; critical education; indicators; policy; political literacy; sustainability literacy; sustainable development,,Scopus
"Shepardson D.P., Niyogi D., Choi S., Charusombat U.",Seventh grade students' conceptions of global warming and climate change,2009,Environmental Education Research,15,549,570,10.1080/13504620903114592,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956628496&doi=10.1080%2f13504620903114592&partnerID=40&md5=981b8a5275051ef78919efbfc85a70b1,climate change; climate literacy; global warming; science curriculum; students' conceptions,,Scopus
"Rule A.C., Meyer M.A.",Teaching urban high school students global climate change information and graph interpretation skills using evidence from the scientific literature,2009,Journal of Geoscience Education,57,335,347,10.5408/1.3559674,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949577783&doi=10.5408%2f1.3559674&partnerID=40&md5=a5a7ff2f509b5f7ddcd503f1eb955db9,,climate change; climate effect; data interpretation; environmental education; global change; graphical method; secondary education; student; teaching; urban society,Scopus
"McCaffrey M.S., Buhr S.M.","Clarifying climate confusion: Addressing systemic holes, cognitive gaps, and misconceptions through climate literacy",2008,Physical Geography,29,512,528,10.2747/0272-3646.29.6.512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549169209&doi=10.2747%2f0272-3646.29.6.512&partnerID=40&md5=1c4c869314f42bd6c395d87ecaec90f1,,climate change; environmental education; information; literacy; North America; United States,Scopus
"Niepold F., Herring D., McConville D.",The role of narrative and geospatial visualization in fostering climate literate citizens,2008,Physical Geography,29,529,544,10.2747/0272-3646.29.6.529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549130671&doi=10.2747%2f0272-3646.29.6.529&partnerID=40&md5=458467bfbdb860d5f509092686c3251c,,climate change; environmental education; information; Internet; literacy; spatial data; visualization; North America; United States,Scopus
"Turner B.L., Robbins P.","Land-change science and political ecology: Similarities, differences, and implications for sustainability science",2008,Annual Review of Environment and Resources,33,295,316,10.1146/annurev.environ.33.022207.104943,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58549111835&doi=10.1146%2fannurev.environ.33.022207.104943&partnerID=40&md5=770db46d5b26812f3ebf942d5d1b598f,Coupled human-environment system; Human ecologies; Human-environment relationships,Co-production; Coupled human-environment system; Human ecologies; Human-environment interaction; Human-environment relationships; Human-environment systems; Political ecology; Sustainability science; Land use; Sustainable development; Ecology,Scopus
"Semken S., Freeman C.B.",Sense of place in the practice and assessment of place-based science teaching,2008,Science Education,92,1042,1057,10.1002/sce.20279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55849085701&doi=10.1002%2fsce.20279&partnerID=40&md5=a286c7ceb5264e9c1f948e29b46a591f,,,Scopus
Cusick J.,Operationalizing sustainability education at the University of Hawai'i at Manoa,2008,International Journal of Sustainability in Higher Education,9,246,256,10.1108/14676370810885871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349092649&doi=10.1108%2f14676370810885871&partnerID=40&md5=ec4dc0cf564f98397083e42d26939e2a,Education; Sustainable development; United States of America,,Scopus
"Svanström M., Lozano-García F.J., Rowe D.",Learning outcomes for sustainable development in higher education,2008,International Journal of Sustainability in Higher Education,9,339,351,10.1108/14676370810885925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-47349110229&doi=10.1108%2f14676370810885925&partnerID=40&md5=240d611528767bbeb0b652dd68bba2c1,Agreements; Education; Sustainable development,,Scopus
Kajikawa Y.,Research core and framework of sustainability science,2008,Sustainability Science,3,215,239,10.1007/s11625-008-0053-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56149118031&doi=10.1007%2fs11625-008-0053-1&partnerID=40&md5=3a4514e122165027dad42b7d1de149b4,Research core; Research framework; Structuring knowledge; Sustainability science,,Scopus
"Cordero E.C., Todd A.M., Abellera D.",Climate change education and the ecological footprint,2008,Bulletin of the American Meteorological Society,89,865,872,10.1175/2007BAMS2432.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49249121733&doi=10.1175%2f2007BAMS2432.1&partnerID=40&md5=147f3b9328eab077173703acd8221aa2,,Air pollution; Canning; Climate control; Climatology; Curricula; Education; Energy management; Environmental protection; Food preservation; Food supply; Global warming; Ozone; Ozone layer; Students; Teaching; Ecological footprint; Electricity use; Food consumption; Learning activities; Mitigation strategies; Ozone depletion; Personal energy; Public education; Social issues; Student knowledge; University students; Climate change,Scopus
"Boyes E., Stanisstreet M., Yongling Z.",Combating global warming: The ideas of high school students in the growing economy of South East China,2008,International Journal of Environmental Studies,65,233,245,10.1080/00207230701284543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42149173847&doi=10.1080%2f00207230701284543&partnerID=40&md5=8a1647783665689078433c4bd847d96a,China; Global warming; Greenhouse effect; Misconceptions; Student ideas,Economic analysis; Environmental regulations; Greenhouse effect; Pollution control; Problem solving; Students; Global warming reduction; Misconceptions; Student ideas; Global warming,Scopus
"Van Dam-Mieras R., Lansu A., Rieckmann M., Michelsen G.","Development of an interdisciplinary, intercultural master's program on sustainability: Learning from the richness of diversity",2008,Innovative Higher Education,32,251,264,10.1007/s10755-007-9055-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549114016&doi=10.1007%2fs10755-007-9055-7&partnerID=40&md5=b28aa4c3c05e279cd54ee0c2ae2b8e16,Higher education for sustainable development; Interculturality; Interdisciplinarity; Virtual learning,,Scopus
Robinson J.,Being undisciplined: Transgressions and intersections in academia and beyond,2008,Futures,40,70,86,10.1016/j.futures.2007.06.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749005030&doi=10.1016%2fj.futures.2007.06.007&partnerID=40&md5=c96b580864cad33c5ca7bdd4e50cec39,,academic performance; institutional framework; interdisciplinary approach; university sector,Scopus
"Sipos Y., Battisti B., Grimm K.","Achieving transformative sustainability learning: Engaging head, hands and heart",2008,International Journal of Sustainability in Higher Education,9,68,86,10.1108/14676370810842193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38349186565&doi=10.1108%2f14676370810842193&partnerID=40&md5=708a2f5bcd89214cfdb9074158118378,Action research; Canada; Education; Experiential learning; Learning,,Scopus
Shephard K.,Higher education for sustainability: Seeking affective learning outcomes,2008,International Journal of Sustainability in Higher Education,9,87,98,10.1108/14676370810842201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38349177486&doi=10.1108%2f14676370810842201&partnerID=40&md5=55c7d2046120ed45dcd104e835c1c49a,Attitudes; Behaviour; Education; Learning; Teaching methods; Value analysis,,Scopus
Ferguson T.,‘Nature’ and the ‘environment’ in Jamaica’s primary school curriculum guides,2008,Environmental Education Research,14,559,577,10.1080/13504620802345966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968918836&doi=10.1080%2f13504620802345966&partnerID=40&md5=26cf6e3ae20d3031f2288414d6f14a93,curriculum; education for sustainable development; environment; Jamaica; nature,,Scopus
"Kennelly J., Taylor N., Jenkins K.",Listening to teachers: teacher and student roles in the New South Wales Sustainable Schools Programme,2008,Environmental Education Research,14,53,64,10.1080/13504620701843350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951484769&doi=10.1080%2f13504620701843350&partnerID=40&md5=c752b1eeb41f5cf208b74c91de7534e8,management; New South Wales; policy; programme; sustainable; teachers,,Scopus
"Heimlich J.E., Ardoin N.M.",Understanding behavior to understand behavior change: a literature review,2008,Environmental Education Research,14,215,237,10.1080/13504620802148881,https://www.scopus.com/inward/record.uri?eid=2-s2.0-74649083151&doi=10.1080%2f13504620802148881&partnerID=40&md5=0cfbaab27847914bfea0814aba70bc46,behavior change; behavior theory; conservation education,,Scopus
Raia F.,Causality in complex dynamic systems: A challenge in Earth systems science education,2008,Journal of Geoscience Education,56,81,94,10.5408/1089-9995-56.1.81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65449123543&doi=10.5408%2f1089-9995-56.1.81&partnerID=40&md5=81b1de215d6e3d5e774211f6e08f68a0,,complexity; education; teaching,Scopus
"Bahar M., Bag H., Bozkurt O.",Pre-service science teachers' understandings of an environmental issue: Ozone layer depletion,2008,Ekoloji,18,51,58,10.5053/ekoloji.2008.697,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149154488&doi=10.5053%2fekoloji.2008.697&partnerID=40&md5=e5d7188578a62f6314eab8c2a4695c3c,Environment; Misconceptions; Ozone layer; Pre-service science teacher,education; environmental planning; ozone depletion; statistical analysis; teaching,Scopus
Huckle J.,An analysis of New Labour’s policy on education for sustainable development with particular reference to socially critical approaches,2008,Environmental Education Research,14,65,75,10.1080/13504620701843392,https://www.scopus.com/inward/record.uri?eid=2-s2.0-48649087142&doi=10.1080%2f13504620701843392&partnerID=40&md5=27e9df9b013dfdf2f652fcb7a089d050,critical education; New Labour; policy; socialism; sustainable development,,Scopus
"Zografakis N., Menegaki A.N., Tsagarakis K.P.",Effective education for energy efficiency,2008,Energy Policy,36,3226,3232,10.1016/j.enpol.2008.04.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46349109441&doi=10.1016%2fj.enpol.2008.04.021&partnerID=40&md5=4cc8bd972895303ed704afefabe155c6,Energy education; Energy-saving awareness; Renewable energy education,Climate change; Energy conservation; Students; Behavior change; Energy educations; Energy efficient; Finite energy; Renewable energy education; Wilcoxon signed rank test; Energy efficiency; education; energy efficiency; project management; renewable resource; Crete; Eurasia; Europe; Greece; Southern Europe; Armeria,Scopus
"Blackstock K.L., Carter C.E.",Operationalising sustainability science for a sustainability directive? Reflecting on three pilot projects,2007,Geographical Journal,173,343,357,10.1111/j.1475-4959.2007.00258.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36448938329&doi=10.1111%2fj.1475-4959.2007.00258.x&partnerID=40&md5=2e1c6a9d7c64d8b8d1ef7362ffe41d09,Evaluation; Institutions; Scotland; Sustainability science; Water Framework Directive; Water management,institutional framework; project assessment; sustainability; water management; Eurasia; Europe; Scotland; United Kingdom; Western Europe,Scopus
"Barth M., Godemann J., Rieckmann M., Stoltenberg U.",Developing key competencies for sustainable development in higher education,2007,International Journal of Sustainability in Higher Education,8,416,430,10.1108/14676370710823582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848872542&doi=10.1108%2f14676370710823582&partnerID=40&md5=c83df273c64e0962b12d9702c90dbd4a,Competences; Higher education; Learning; Sustainable development,,Scopus
"Edwards A., Sebba J., Rickinson M.",Working with users: Some implications for educational research,2007,British Educational Research Journal,33,647,661,10.1080/01411920701582199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35449006739&doi=10.1080%2f01411920701582199&partnerID=40&md5=794997bdfdb43c34a6830b9beec7886f,,,Scopus
Grunwald A.,Working towards sustainable development in the face of uncertainty and incomplete knowledge,2007,Journal of Environmental Policy and Planning,9,245,262,10.1080/15239080701622774,https://www.scopus.com/inward/record.uri?eid=2-s2.0-51049090798&doi=10.1080%2f15239080701622774&partnerID=40&md5=d9c64be3faf30a6c9826154248cdfda7,Governance; Incrementalism; Planning Theory; Prospective knowledge,,Scopus
Winter C.,Education for sustainable development and the secondary curriculum in English schools: Rhetoric or reality?,2007,Cambridge Journal of Education,37,337,354,10.1080/03057640701546656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548615880&doi=10.1080%2f03057640701546656&partnerID=40&md5=21a4c6cb231c1a6e69c008bcdab5bd3f,,,Scopus
"Glavič P., Lukman R.",Review of sustainability terms and their definitions,2007,Journal of Cleaner Production,15,1875,1885,10.1016/j.jclepro.2006.12.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547778888&doi=10.1016%2fj.jclepro.2006.12.006&partnerID=40&md5=570c855e6ff14406e0a78d94cecda93d,Classification; Cleaner production; Definitions; Sustainability; Terminology,Engineering research; Hierarchical systems; Pollution control; Societies and institutions; Cleaner production; Pollution prevention; Classification (of information),Scopus
Rowe D.,Education for a sustainable future,2007,Science,317,323,324,10.1126/science.1143552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547127372&doi=10.1126%2fscience.1143552&partnerID=40&md5=5b874983ea7eff4c0c75708fb4afd49e,,curriculum; education; future prospect; integrated approach; research; architecture; board of trustees; college; college student; commercial phenomena; cooperation; curriculum development; education; education program; engineering; government; human; knowledge; learning; organization; priority journal; short survey; sustainable development; United States; university,Scopus
Kevany K.D.,Building the requisite capacity for stewardship and sustainable development,2007,International Journal of Sustainability in Higher Education,8,107,122,10.1108/14676370710726580,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047111414&doi=10.1108%2f14676370710726580&partnerID=40&md5=17e2c8ec9580a0ff7d31053aabaa5273,Education; Sustainable development,,Scopus
"Matkins J.J., Bell R.L.",Awakening the scientist inside: Global climate change and the nature of science in an elementary science methods course,2007,Journal of Science Teacher Education,18,137,163,10.1007/s10972-006-9033-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247273575&doi=10.1007%2fs10972-006-9033-4&partnerID=40&md5=df81d990d5b59706ff909d0d3d8da8eb,,,Scopus
"Michail S., Stamou A.G., Stamou G.P.",Greek primary school teachers' understanding of current environmental issues: An exploration of their environmental knowledge and images of nature,2007,Science Education,91,244,259,10.1002/sce.20185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947578268&doi=10.1002%2fsce.20185&partnerID=40&md5=a9e3e3db8a27dc0871c09c8bc5810652,,,Scopus
McNaughton M.J.,Sustainable development education in Scottish schools: the Sleeping Beauty syndrome,2007,Environmental Education Research,13,621,638,10.1080/13504620701659087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968772452&doi=10.1080%2f13504620701659087&partnerID=40&md5=cf153cd50ccc8eef612bc19aaebbc607,,,Scopus
"Gruenewald D.A., Manteaw B.O.",Oil and water still: how No Child Left Behind limits and distorts environmental education in US schools,2007,Environmental Education Research,13,171,188,10.1080/13504620701284944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-75149187655&doi=10.1080%2f13504620701284944&partnerID=40&md5=8dc71b64897b8c4bdaef4829f368db5e,,,Scopus
González-Gaudiano E.,Schooling and environment in Latin America in the third millennium,2007,Environmental Education Research,13,155,169,10.1080/13504620701295684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68149165211&doi=10.1080%2f13504620701295684&partnerID=40&md5=52b4e65a0ee27101a64ee9992cb8a5b8,,,Scopus
"Lee O., Lester B.T., Ma L., Lambert J., Jean-Baptiste M.",Conceptions of the greenhouse effect and global warming among elementary students from diverse languages and cultures,2007,Journal of Geoscience Education,55,117,125,10.5408/1089-9995-55.2.117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349110618&doi=10.5408%2f1089-9995-55.2.117&partnerID=40&md5=6f7dfa0c9f00fd885ec0bc2aec14551c,,conceptual framework; cultural influence; curriculum; education; global warming; greenhouse effect; primary education; student; North America; United States,Scopus
"Baartman L.K.J., Bastiaens T.J., Kirschner P.A., van der Vleuten C.P.M.",Evaluating assessment quality in competence-based education: A qualitative comparison of two frameworks,2007,Educational Research Review,2,114,129,10.1016/j.edurev.2007.06.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048987051&doi=10.1016%2fj.edurev.2007.06.001&partnerID=40&md5=641ab2cc69484b3576471b7ae9457cae,Assessment programmes; Competence-based education; Evaluation criteria; Quality control,,Scopus
"Pruneau D., Doyon A., Langis J., Vasseur L., Martin G., Ouellet E., Boudreau G.",The process of change experimented by teachers and students when voluntarily trying environmental behaviors,2006,Applied Environmental Education and Communication,5,33,40,10.1080/15330150500452349,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896693345&doi=10.1080%2f15330150500452349&partnerID=40&md5=a37a9e0e96ca691cc572e9e306bffe78,,,Scopus
"Donahue A.K., Miller J.M.","Experience, attitudes, and willingness to pay for public safety",2006,American Review of Public Administration,36,395,418,10.1177/0275074005285666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750486167&doi=10.1177%2f0275074005285666&partnerID=40&md5=f439075a32c1baafd7fd2178d250b1ff,Attitudes; Media exposure; Public safety; Public services; Willingness to pay,,Scopus
"Van Kerkhoff L., Lebel L.",Linking knowledge and action for sustainable development,2006,Annual Review of Environment and Resources,31,445,477,10.1146/annurev.energy.31.102405.170850,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751002968&doi=10.1146%2fannurev.energy.31.102405.170850&partnerID=40&md5=f389da89a30d47e36376ce87e52f9f7d,Engagement; Integration; Participation; Power; Research; Science,Economic and social effects; Embedded systems; Knowledge acquisition; Large scale systems; Research; Social aspects; Translation (languages); Engagement; Participation; Research based knowledge; Sustainable development,Scopus
"Hirsch Hadorn G., Bradley D., Pohl C., Rist S., Wiesmann U.",Implications of transdisciplinarity for sustainability research,2006,Ecological Economics,60,119,128,10.1016/j.ecolecon.2005.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749994347&doi=10.1016%2fj.ecolecon.2005.12.002&partnerID=40&md5=a1ea0b360ad09445e02ab0e9e532b0e5,North-South; Participatory research; Sustainable development; Systems analysis; Transdisciplinarity,ecological economics; participatory approach; research work; sustainability,Scopus
Gibson R.B.,Sustainability assessment: Basic components of a practical approach,2006,Impact Assessment and Project Appraisal,24,170,182,10.3152/147154606781765147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750486210&doi=10.3152%2f147154606781765147&partnerID=40&md5=56b3dd14e54f72ed8e238e8cc19b901e,Complexity; Decision criteria; Integration; Process design; Sustainability assessment; Sustainability requirements; Trade-offs,decision making; sustainability; trade-off,Scopus
"Thrupp M., Lupton R.",Taking school contexts more seriously: The social justice challenge,2006,British Journal of Educational Studies,54,308,328,10.1111/j.1467-8527.2006.00348.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747479550&doi=10.1111%2fj.1467-8527.2006.00348.x&partnerID=40&md5=924f4260554477a87d67f18d183dc47d,Educational research; School context; School performance,,Scopus
Kelly P.,Letter from the oasis: Helping engineering students to become sustainability professionals,2006,Futures,38,696,707,10.1016/j.futures.2005.10.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645047173&doi=10.1016%2fj.futures.2005.10.005&partnerID=40&md5=b356d6da7628f82a2608da4f81083b69,,sustainability,Scopus
"Scholz R.W., Lang D.J., Wiek A., Walter A.I., Stauffacher M.",Transdisciplinary case studies as a means of sustainability learning: Historical framework and theory,2006,International Journal of Sustainability in Higher Education,7,226,251,10.1108/14676370610677829,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746125356&doi=10.1108%2f14676370610677829&partnerID=40&md5=f20ab1ac90bf9db12fd583d860b933f1,Case studies; Learning; Strategic planning; Sustainable development,,Scopus
"Steiner G., Posch A.","Higher education for sustainability by means of transdisciplinary case studies: an innovative approach for solving complex, real-world problems",2006,Journal of Cleaner Production,14,877,890,10.1016/j.jclepro.2005.11.054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646050038&doi=10.1016%2fj.jclepro.2005.11.054&partnerID=40&md5=bed1e2810c7527266b0f8e0566f86536,Case study; Complex problem solving; Interdisciplinarity; Self-regulated learning; Sustainable development; Transdisciplinarity,Ecology; Economics; Learning systems; Problem solving; Students; Sustainable development; Case study; Complex problem solving; Interdisciplinarity; Self-regulated learning; Transdisciplinarity; Education,Scopus
"Pruneau D., Doyon A., Langis J., Vasseur L., Ouellet E., McLaughlin E., Boudreau G., Martin G.",When teachers adopt environmental behaviors in the aim of protecting the climate,2006,Journal of Environmental Education,37,3,12,10.3200/JOEE.37.3.3-12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745936917&doi=10.3200%2fJOEE.37.3.3-12&partnerID=40&md5=ecc32af7e6d47d5e0dd8c39803439ecd,Climate change; Environmental behavior; Environmental education; Teacher training,,Scopus
de Haan G.,The BLK ‘21’ programme in Germany: A ‘Gestaltungskompetenz’-based model for Education for Sustainable Development,2006,Environmental Education Research,12,19,32,10.1080/13504620500526362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068279507&doi=10.1080%2f13504620500526362&partnerID=40&md5=0a904272b1e0bd2ab407edeebb62a657,,,Scopus
"Bolscho D., Hauenschild K.",From environmental education to Education for Sustainable Development in Germany,2006,Environmental Education Research,12,7,18,10.1080/13504620500526297,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848889876&doi=10.1080%2f13504620500526297&partnerID=40&md5=5d2e7176fe16a42fff53b413574b3a3e,,,Scopus
"Scheunpflug A., Asbrand B.",Global education and education for sustainability,2006,Environmental Education Research,12,33,46,10.1080/13504620500526446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548654299&doi=10.1080%2f13504620500526446&partnerID=40&md5=07d836966f113eb34dbffadcd6c13b20,,,Scopus
"Sterling S., Thomas I.",Education for sustainability: The role of capabilities in guiding university curricula,2006,International Journal of Innovation and Sustainable Development,1,349,370,10.1504/IJISD.2006.013735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347325194&doi=10.1504%2fIJISD.2006.013735&partnerID=40&md5=f4fee6120524b382cc358b3c9a80f976,Capability; Curriculum; Curriculum design; Education for Sustainable Development; ESD; Hierarchy of learning/staged change; Learning response; Sustainable development,,Scopus
"Lester B.T., Ma L., Lee O., Lambert J.","Social activism in elementary science education: A science, technology, and society approach to teach global warming",2006,International Journal of Science Education,28,315,339,10.1080/09500690500240100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30744455791&doi=10.1080%2f09500690500240100&partnerID=40&md5=f742f0afc9eeb8fa6b9a64271b052df4,,,Scopus
Geels F.W.,Technological transitions and system innovations: A co-evolutionary and socio-technical analysis,2005,Technological Transitions and System Innovations: A Co-Evolutionary and Socio-Technical Analysis,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881982022&partnerID=40&md5=6a9807fa94ccaef895db46b5b17b0492,,,Scopus
"Hsieh H.-F., Shannon S.E.",Three approaches to qualitative content analysis,2005,Qualitative Health Research,15,1277,1288,10.1177/1049732305276687,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27844518793&doi=10.1177%2f1049732305276687&partnerID=40&md5=35df27b8756f0ac2d54708630ae4f1c5,Content analysis; End-of-life care; Qualitative research; Research methodology,analytical parameters; article; comparative study; data analysis; information processing; methodology; priority journal; qualitative analysis; reliability; terminal care; theory; Humans; Qualitative Research; Research; Terminal Care,Scopus
